服务,接口,pv
service-uic,/getOpenSnsAuthUrl4Mobile,100
service-uic,/favorite/isFavorite,239
service-uic,/user/OpenApiUserLogin,11715
service-uic,/book/getTenants,34832
service-uic,/user/quickLoginOrRegister4Pcweb,1487
service-uic,/BizTravel/getUserIdentifyInfo,311
service-uic,/User/OpenApiUserLogin4Pcweb,439
service-uic,/user/login4pwd,4442
service-uic,/user/sendSmsCodeForDirectSale,501
service-uic,/invite/lastInviteInfo,3163
service-uic,,1
service-uic,/js/polyfill.min.js,1
service-uic,/,922
service-uic,/user/QuickSendSmsCodeXianyu,82
service-uic,/favorite/getListByLuIds,9
service-uic,/invite/newInviterInfo,359
service-uic,/identify/getSchoolList,20854
service-uic,/invite/checkInviteCode,1614
service-uic,/book/delTenant,205
service-uic,/brushFace/getBizToken,4
service-uic,-,33
service-uic,/user/quickLoginBySIM,2134
service-uic,/twoElementVerification/identityCheck,1
service-uic,/js/vue.js,1
service-uic,/user/checkMobileExist,124
service-uic,/identify/studentIdentifyCheck,3258
service-uic,/book/AddTenants,3822
service-uic,/js/captcha/gt.js,1
service-uic,/external/member/getMemberInfo,1643
service-uic,/user/Register4AppH5,3598
service-uic,/favorite/noteList,1111
service-uic,/my/indexNoLogin,807
service-uic,/my/index,807
service-uic,/user/QuickSendSmsCode,112578
service-uic,/user/wxMiniProgmLogin,3524
service-uic,/userAddress/userAddressOperate,810
service-uic,/User/OpenApiUserRegister4Pcweb,60
service-uic,/my/indexOrder,807
service-uic,/js/captcha/captchaModel.js,1
service-uic,/web/xzfk/web/500,2
service-uic,/userAddress/userAddressList,828
service-uic,/favorite/cancelAll,4990
service-uic,/identify/studentIdentifySubmit,1257
service-uic,/invite/inviteInfoById,60
service-uic,/identityCheck/ocrCheck,1606
service-uic,/user/login4pw,15
service-uic,/favicon.ico,7
service-uic,/config/index.js,1
service-uic,/favorite/favoriteList,41034
service-uic,/book/getTenantsV2,74805
service-uic,/user/ResetPwdByMobile,681
service-uic,/book/addTenantsV2,2690
service-uic,/SyncOpenSns,187
service-uic,/user/xztokenExchange,48288
service-uic,/user/sendEmail,4
service-uic,/user/NewQuickLogin,12764
service-uic,/user/wxMiniProgmSilentLogin,46195
service-uic,/user/xiaohongshuMiniProgmLogin,56
service-uic,/user/QuickSendSmsCode\x22 \x22GET /app/xzfk/android/6.32.00/user/QuickSendSmsCode,2
service-uic,/getOpenSnsAuthUrl,438
service-uic,/user/OpenApiUserRegister4App,2577
service-uic,/fangdong/indexV2,29115
service-uic,/robots.txt,8
service-uic,/browse/historyList,6809
service-uic,/invite/inviteInfo,2096
service-uic,/BizTravel/GetUserCashPledgeFreeAuth,484
service-uic,/bizTravel/userIdentifyBanner,317
service-uic,/invite/inviteUserRecord,814
service-uic,/xzweb.php,13
service-uic,/js/utils/index.js,1
service-uic,/user/quickSendSmsCode,2175
service-uic,/invite/inviteCode,813
service-uic,/favorite/addFavorite,26933
service-uic,/identify/getStudentUserInfo,6411
service-uic,/favorite/chooseCity,21067
service-uic,/user/loginOut,9507
service-uic,/js/captcha/captcha.js,1
service-uic,/js/jquery-3.3.1.min.js,1
service-uic,/brushFace/verifyCheck,3
service-uic,/invite/myInviteInfo,1918
service-uic,/browse/batchAddBrowseHistory,6414
service-uic,/brushFace/getIdentityCheckBizToken,1150
service-uic,/user/userBindOperation,387
service-uic,/BizTravel/ShowGoToLodgeUnitDetail,4
