服务,接口,pv
api-user,/user/checkunionid,70866
api-user,/Tenant/GetIdCardAuthentication,5069
api-user,/callback/migrationtaskresult,854
api-user,/realnameverify/add,3
api-user,/app/xzfk/ios/6.33.01/global/feedback,2
api-user,/Tenant/getUserTenants,10597
api-user,/housekeeper/add,305
api-user,/migrationtask/export,20
api-user,/book/addTenantsV2,2802
api-user,/landlordinfo/check,164
api-user,/remark/edit,2
api-user,/user/maintainUserDeviceToken,532853
api-user,/userinvite/lastInviteInfo,3328
api-user,/inner/landlordlevelinfo,1044
api-user,/userlogout/showuserlogoutdetail,403
api-user,/smscode/send,12
api-user,/landlordinfo/list,11953
api-user,/landlordinfo/getlandlordrelatedstate,6320
api-user,/realnameverify/delete,47
api-user,/account/list,31
api-user,/app/xzfk/AlipayApplet/4.16.0/favorite/favoriteList,108
api-user,/book/getTenantsV2,79748
api-user,/book/getTenants,36679
api-user,/userfeedback/info,19
api-user,/userfeedback/update,7
api-user,/app/xzfk/ios/6.33.00/global/feedback,2
api-user,/landlordinfo/info,3811
api-user,/tenant/getById,1735
api-user,/user/getuserinfo,1258
api-user,/cooperationinfo/info,430
api-user,/landlord/add,15
api-user,/user/checkUserSession,42534
api-user,/book/AddTenants,4043
api-user,/app/xzfk/html5/500/My/UserIdentityAuth,3397
api-user,/userinvite/newInviterInfo,368
api-user,/app/xzfk/android/6.32.00/global/feedback,6
api-user,/landlordinfo/modifylandlordInfo,4
api-user,/user/isrisklandlord,13527
api-user,/backGroundCheck/identityCheckToBatch,11099
api-user,/housekeeper/getchangelist,169
api-user,/userfeedback/classify,57
api-user,/tenant/addOrUpdateUserTenantForBookOrder,62
api-user,/cooperationinfo/getpulldown,430
api-user,/book/delTenant,227
api-user,/migrationtask/list,912
api-user,/identify/studentIdentifySubmit,444
api-user,/callback/landlordfirstlu,4912
api-user,/inner/landlordlumetrics,862
api-user,/migrationtask/execute,948
api-user,/useroperationlog/getbyuserid,1
api-user,/user/getinfolist,11351
api-user,/app/xzfk/WeChatApplet/6.32.00/My/UserIdentityAuth,2077
api-user,/userprivilegejournal/list,861
api-user,/housekeeper/addbyrules,5
api-user,/userfeedback/list,118
api-user,/userlogout/douserlogout,26
api-user,/migrationtask/templatedownload,2
api-user,/landlordinfo/exportlist,7
api-user,/identify/studentIdentifyCheck,1115
