服务,接口,pv
center,/book/addtenants,3592
center,/migrationtask/statusmodify,1761
center,/user/getbymobile,952
center,/user/checkunionid,76600
center,/landlordinfo/getlandlordrelatedstate,5489
center,/housekeeper/getinfobylandlordids,113450
center,/migrationtask/countbychecksum,17
center,/housekeeper/addbyrules,2
center,/userfeedback/update,7
center,/landlordinfo/info,803267
center,/housekeeper/getbylandlordids,205666
center,/userfeedback/add,7
center,/mailcode/check,16
center,/studentaudit/getauditlistbystudentidentifyid,339
center,/user/getdevicebysessiontime,77478
center,/userinvite/newInviterInfo,327
center,/book/deltenant,142
center,/identify/studentidentifysubmit,437
center,/identify/resendwaitaudit,1
center,/remark/update,2
center,/landlordinfo/list,10861
center,/callback/auditresult,1333
center,/user/getbyidcard,435
center,/userfeedback/info,18
center,/identify/studentidentifycheck,1093
center,/book/gettenantsv2,70454
center,/user/infolist,9731
center,/criminalrecord/check,27
center,/landlordinfo/updatelandlordluinfo,4401
center,/tenant/getbyid,1549
center,/user/editinfo,260
center,/housekeeper/changelist,148
center,/useraddress/info,5
center,/book/gettenants,32601
center,/tenant/getidcardauthentication,3607
center,/realname/add,564
center,/favorite/favoritelist,101
center,/opensns/unbind,5
center,/landlordinfo/modifylandlordInfo,3
center,/landlord/info,2008450
center,/tenant/getusertenants,9360
center,/authentication/check,809
center,/callback/operatekainfo,35
center,/user/getinfo,1950
center,/user/getUser4Open,2215
center,/landlordinfo/hastype,178438
center,/user/saveheadimageaudit,1333
center,/userfeedback/list,96
center,/user/getbyemail,35
center,/migrationtask/batchinsert,16
center,/user/regPushToken,473634
center,/backgroundcheck/identitychecktobatch,9754
center,/cooperationinfo/info,363
center,/user/getbyidbatch,278123
center,/callback/editlandlordinfo,1596
center,/callback/updaterealnameverify,2485
center,/book/addtenantsv2,1162
center,/useroperationlog/getbyuserid,1
center,/realname/userinfo,26502
center,/my/useridentityauth,2975
center,/realname/cancel,41
center,/userfeedback/isrepeat,7
center,/cmdb/principle,1
center,/user/info,1721
center,/tenant/addorupdateusertenantforbookorder,55
center,/housekeeper/add,1015
center,/useraddress/default,85
center,/landlord/add,367
center,/mailcode/send,18
center,/account/totalinfo,3343
center,/account/list,798
center,/migrationtask/list,1843
center,/businesstraveluser/batchgetdetail,2579
