服务,接口,pv
service-uic,/mq/multiDeviceReminder,17925
service-uic,/user/feishu,30
service-uic,/book/addTenantsV2,148
service-uic,/identify/getStudentIdentifyByUserId,1820490
service-uic,/mq/vipABTestUserInfoReport,39573
service-uic,/mq/sheetAudit,1354
service-uic,/user/OpenApiUserRegister4H5,6
service-uic,/my/verifyIdentifyStatus,856
service-uic,/user/ResetPwdByMobile,25
service-uic,/user/quickSendSmsCode,2
service-uic,/book/delTenant,24
service-uic,/user/getById,23515402
service-uic,/my/editProfile,272729
service-uic,/user/getUser4Open,3317
service-uic,/user/SaveEmail,769
service-uic,/userfeedback/update,3
service-uic,/backGroundCheck/criminalRecordBatchDBCheck,13458
service-uic,/my/appSetting,852
service-uic,/user/getuserinfo,66
service-uic,/backGroundCheck/searchAuthenticationInfo,19
service-uic,/user/getWxMiniProgmUser,84793
service-uic,/user/userBindOperation,5826
service-uic,/my/indexAliMiniProgram,670
service-uic,/user/checkMobileVerifyCodeGetUserInfo,92
service-uic,/housekeeper/getchangelist,9
service-uic,/my/uploadIDCardImg,817
service-uic,/my/uploadHeadImg,524
service-uic,/inner/landlordlumetrics,112
service-uic,/bizTravel/getUserIdentifyInfo,1823
service-uic,/bizTravel/sendUserIdentifyEmail,11
service-uic,/user/getUser4BookOrderV2,3339
service-uic,/my/expenseandreceiptintegrallog,686
service-uic,/identify/getStudentIdentifyEnum,88
service-uic,/landlordinfo/list,962
service-uic,/user/operateTag,138
service-uic,/User/ByteDanceMiniProgmLogin,1
service-uic,/my/userAddressList,769
service-uic,/userinvite/newInviterInfo,30
service-uic,/favorite/favoriteList,13
service-uic,/sensors/setUserRole,39573
service-uic,/user/getXiaohongshuOpenIdByUserId,9065
service-uic,/my/indexNoLogin,769
service-uic,/user/ShowLoginImageCheckCode,769
service-uic,/favorite/isFavoriteInBatch,109886
service-uic,/user/Register4AppH5,82
service-uic,/userinvite/lastInviteInfo,439
service-uic,/inner/landlordlevelinfo,121
service-uic,/My/CheckUserIdAuth,1272
service-uic,/favicon.ico,4
service-uic,/user/delayRegister,8
service-uic,/userfeedback/list,31
service-uic,/index/readRedPointForActivity,17
service-uic,/Tenant/GetIdCardAuthentication,5180
service-uic,/tenant/detail,4474
service-uic,/user/ChangePwdInApp,169
service-uic,/user/loginOut,114
service-uic,/userprivilegejournal/list,112
service-uic,/brushFace/success,3
service-uic,/user/getXZToken,141589
service-uic,/user/inviteCode,769
service-uic,/user/getByNicknames,40
service-uic,/tenant/addOrUpdateUserTenantForBookOrder,60
service-uic,/user/isrisklandlord,1830
service-uic,/user/favorite/addFavorite,9
service-uic,/user/getLandlordInfo,16625468
service-uic,/realName/getFdIdentityVerify,105177
service-uic,/user/getUserInfo,113091
service-uic,/my/getlightcityslog,16
service-uic,/account/list,3
service-uic,/user/accountSensitiveOPVerify,1
service-uic,/user/get,36042
service-uic,/user/OpenApiUserLogin4html5,89
service-uic,/landlordinfo/info,229
service-uic,/housekeeper/add,7
service-uic,/userfeedback/info,6
service-uic,/internal/member/getMemberInfo,4035012
service-uic,/user/getByIds,590707
service-uic,/userAddress/default,807
service-uic,/user/NewQuickLogin,355
service-uic,/My/UserIdentityInfo,13
service-uic,/book/AddTenants,495
service-uic,/user/getKaTag,336146
service-uic,/user/maintainUserDeviceToken,478361
service-uic,/bizTravel/getBusinessIdentify,100934
service-uic,/User/ByteDanceMiniProgmAnonymousLogin,7
service-uic,/my/usersignachievement,69
service-uic,/userlogout/showuserlogoutdetail,53
service-uic,/cooperationinfo/info,24
service-uic,/realnameverify/delete,4
service-uic,/user/getByMobile,25012
service-uic,/backGroundCheck/identityCheckToBatch,11173
service-uic,/user/QuickSendSmsCode,572
service-uic,/user/sendSmsCode,91
service-uic,/user/OpenApiStateLogin,4
service-uic,/user/CheckParams4H5,653
service-uic,/book/getTenants,4814
service-uic,/mq/addBrowseHistory,326211
service-uic,/account/sendIntegral4CompleteUserInfo,5905
service-uic,/tenant/getById,1773
service-uic,/my/index,815
service-uic,/account/sendIntegral4SNSBind,5905
service-uic,/user/checkunionid,6523
service-uic,/userlogout/douserlogout,5
service-uic,/callback/migrationtaskresult,4
service-uic,/user/xztokenExchange,321838
service-uic,/favorite/info,108151
service-uic,/Tenant/getUserTenants,10842
service-uic,/mq/userRegisterSuccess4WXFWH,9800
service-uic,/user/quickLoginBySIM,1
service-uic,/user/createBaseUser,11
service-uic,/book/getTenantsV2,7343
service-uic,/callback/landlordfirstlu,706
service-uic,/landlordinfo/getlandlordrelatedstate,443
service-uic,/user/observer,547739
service-uic,/user/getUserPushToken,146687
service-uic,/backGroundCheck/identityCheck,120481
service-uic,/user/wxMiniProgmPhoneLogin,473
service-uic,/landlordinfo/check,9
service-uic,/landlordinfo/exportlist,1
service-uic,/user/getStatus,44580
service-uic,/user/ChangeMobileInApp,872
service-uic,/mq/inviteSuccessRemind,268
service-uic,/My/UserIdentityAuth,548
service-uic,/identify/getStudentIdentifyList,179
service-uic,/mq/deleteDevicePushToken,17
service-uic,/my/integralandgoods,1
service-uic,/goodLandlord/checkIsGoodLandlord,82868
service-uic,/mq/userRegisterSuccess,9800
service-uic,/user/getWechatBindingStatus,1466
service-uic,/user/login4pwd,769
service-uic,/favorite/isFavorite,335968
service-uic,/user/resetUserInfo,334
service-uic,/cooperationinfo/getpulldown,24
service-uic,/mq/asyncBrowseHistory,110
service-uic,/browseHistory/info,100934
service-uic,/user/getUserBaseInfo,13538
service-uic,/User/OpenApiUserLoginMiniPrgm,7301
service-uic,/account/sendIntegral4Checkout,4145
service-uic,/user/checkUserSession,13242475
service-uic,/user/operateKaTag,35
service-uic,/user/getinfolist,326
service-uic,/user/favorite/cancelAll,1
service-uic,/my/NavCount,662938
service-uic,/user/update,622
service-uic,/userDelete/get,24
service-uic,/my/usersign,4525
service-uic,/my/IndexWxMiniProgram,8283
service-uic,/user/AliXZAuth,609
service-uic,/bizTravel/userIdentifyInfoSubmit,11
service-uic,/user/getMiniProgInfo,1120
service-uic,/User/QuickLoginAndRegister,15
service-uic,/cmdb/principle,4
service-uic,/userfeedback/classify,15
service-uic,/favorite/getListByUserId,386007
service-uic,/account/info,100934
service-uic,/user/CheckMobileExist,85288
service-uic,/backGroundCheck/criminalRecordCheck,71992
service-uic,/user/updateBaseUser,3
