服务,接口,pv
service-center,/user/byteDanceMiniProgmAnonymousLogin,7
service-center,/user/getUserExtInfo,24634
service-center,/user/getUser4Open,3317
service-center,/user/sendSmsCode,91
service-center,/user/checkParams4H5,653
service-center,/user/directAddLandlord,367
service-center,/user/inviteCode,769
service-center,/getOpenSnsAuthUrl,416
service-center,/user/operateTag,138
service-center,/user/byteDanceMiniProgmLogin,1
service-center,/user/getWechatBindingStatus,1466
service-center,/user/getMiniProgInfo,1120
service-center,/user/delayRegister,8
service-center,/observerTask,631464
service-center,/user/checkMobileExist,99407
service-center,/getOpenSnsAuthUrl4Mobile,85
service-center,/user/openApiStateLogin,4
service-center,/user/sendEmail,2
service-center,/user/openApiUserLogin,11154
service-center,/user/saveEmail,769
service-center,/user/changePassword,169
service-center,/user/userBindOperation,5636
service-center,/user/openApiUserRegister4App,2435
service-center,/user/getWxMiniProgmUser,95513
service-center,/user/generateUserSession,19751
service-center,/user/openApiUserRegister4Pcweb,46
service-center,/user/quickLogin,13825
service-center,/user/operateKaTag,35
service-center,/user/getTag,888115
service-center,/user/getUsableUserAccountSum,118200
service-center,/user/getUserDetailInfo,137682
service-center,/syncOpenSns4Mobile,75
service-center,/user/openApiUserRegister4H5,6
service-center,/user/editProfile,309580
service-center,/user/indexAliMiniProgram,670
service-center,/user/accountSensitiveOPVerify,1
service-center,/user/loginAndRegister,15
service-center,/user/checkUserSession,15889810
service-center,/user/getKaTag,871967
service-center,/user/quickRegisterByMobile4Api,1759
service-center,/user/wxMiniProgmPhoneLogin,473
service-center,/syncOpenSns,180
service-center,/user/login4pwd,5038
service-center,/user/getUserBaseInfo,1557
service-center,/user/aliXZAuth,609
service-center,/user/resetPwdByPhone,689
service-center,/user/showLoginImageCheckCode,769
service-center,/user/addOpLog,42958
service-center,/user/register,3569
service-center,/user/changeMobile,865
service-center,/user/xztokenExchange,413620
service-center,/tools/resetMobileNum,10
service-center,/user/indexWxMiniProgram,8283
service-center,/user/openApiUserLoginMiniPrgm,7301
